Identifier,Question Key,Question,Value Type,Options,Parent Question Key,Stage,Page,Section,Sequence,Sp Opt,Sp Opt Message,Sp Opt Action,Sp Opt Data,Validation Type,Validation Value,Validation Message,Is Mandatory,Is Editable,Unified,Repeatable For,Dependent Keys
,vehicle_details,Vehicle Details,,,vehicle_details,Vehicle Details,vehicle_information,1,,,Please enter correct data,,false,true,NON_UNIFIED,,
,manufacturing_year,Vehicle Manufacturing Year,text,,vehicle_details,Vehicle Details,Vehicle Information,1,,,regex,"^([2]{1}[0-9]{3})$",Please enter correct data,true,true,NON_UNIFIED,,
,registration_number,Vehicle Registration Number,text,,vehicle_details,Vehicle Details,Vehicle Information,2,,,regex,"^(?=.{8,10}$)(([A-Za-z]){2}([0-9]){1,2}([A-Za-z]){0,3}([0-9]){1,5})$|(^[0-9]{2}BH[0-9]{4}[A-Za-z]{1,2})$",Registration number should only contain Alphanumeric characters,true,true,NON_UNIFIED,,
,engine_number,Engine Number,text,,vehicle_details,Vehicle Details,Vehicle Information,3,,,regex,"^[a-zA-Z0-9]{5,20}$",Please Enter Correct Data,true,true,NON_UNIFIED,,
,chassis_number,Chassis Number,text,,vehicle_details,Vehicle Details,Vehicle Information,4,,,regex,"^[a-zA-Z0-9]{5,30}$",Chassis Number should be Alphanumeric with 17 characters,true,true,NON_UNIFIED,,
,financier_name,Financier Name,text,,vehicle_details,Vehicle Details,Vehicle Information,5,,,regex,".*",,false,true,NON_UNIFIED,,
,financier_type,Financier Type,search_dropdown,"Hypothecated, Hire Purchase, Lease Agreement",vehicle_details,Vehicle Details,Vehicle Information,6,,,Please enter correct data,,false,true,NON_UNIFIED,,
,tyre_details,Tyre name and Serial No.,text,,vehicle_details,Customer Details,Additional Information,7,,,Please enter correct data,,false,true,NON_UNIFIED,,
,rim_details,Rim name and Serial No.,text,,vehicle_details,Customer Details,Additional Information,8,,,Please enter correct data,,false,true,NON_UNIFIED,,
,nominee_details,Nominee Details,,,nominee_details,Customer Details,Nominee Details,5,,,,,false,true,NON_UNIFIED,,
,nominee_first_name,Nominee First Name,text,,nominee_details,Customer Details,Nominee Details,1,,,regex,"^([a-zA-Z]{2,})$",Please enter correct data,true,true,NON_UNIFIED,,
,nominee_last_name,Nominee Last Name,text,,nominee_details,Customer Details,Nominee Details,2,,,regex,"^[a-zA-Z.\s]{1,30}$",Please enter correct data,true,true,NON_UNIFIED,,
,nominee_dob,Nominee DOB,date,,nominee_details,Customer Details,Nominee Details,3,,,,,true,true,NON_UNIFIED,,
,nominee_relation,Relationship with nominee,dropdown,"Spouse, Son, Daughter, Mother, Father, Brother, Sister, Other",nominee_details,Customer Details,Nominee Details,4,,,Please enter correct data,,true,true,NON_UNIFIED,,
,contact_details,Contact Details,,,contact_details,Customer Details,Contact Details,2,,,,,false,true,NON_UNIFIED,,
,proposer_email,Email,text,,contact_details,Customer Details,Contact Details,3,,,regex,"^[a-zA-Z0-9+_.-]+@[a-zA-Z0-9.-]+$",Invalid Email address,true,true,NON_UNIFIED,,
,proposer_phone_number,Phone Number,text,,contact_details,Customer Details,Contact Details,3,,,regex,"^[0-9]{10}$",Phone number is invalid,true,true,NON_UNIFIED,,
,individual_details,Customer Details,,,individual_details,Customer Details,Customer Details,1,,,Please enter correct data,,false,true,NON_UNIFIED,,
,proposer_first_name,First Name,text,,individual_details,Customer Details,Customer Details,2,,,Please enter correct data,,true,false,NON_UNIFIED,,
,proposer_last_name,Last Name,text,,individual_details,Customer Details,Customer Details,3,,,Please enter correct data,,true,false,NON_UNIFIED,,
,proposer_dob,DOB,date,,individual_details,Customer Details,Customer Details,4,,min_age,18,Please enter correct data,,true,false,NON_UNIFIED,,
,proposer_gender,Gender,switch,"Male, Female",individual_details,Customer Details,Customer Details,5,,,Please enter correct data,,true,false,NON_UNIFIED,,
,proposer_title,Title,dropdown,"Mr, Ms, Mrs, Dr, M/s",individual_details,Customer Details,Customer Details,1,,,Please enter correct data,,true,true,NON_UNIFIED,,
,proposer_aadhaar,Aadhar,,,individual_details,Customer Details,Customer Details,,,,,,false,true,NON_UNIFIED,,
,proposer_marital_status,Marital Status,dropdown,"Single, Married, Divorced, Widower",individual_details,Customer Details,Customer Details,8,,,,,false,true,NON_UNIFIED,,
,proposer_occupation,Occupation,dropdown,"Architect, Business, Engineer, Farmer, Home Maker, Housewife, Journalist, Other Occupation, Professional, Retired, Scientist, Self Employed, Service/Salaried, Student, Teacher, Doctor",individual_details,Customer Details,Customer Details,6,,,Please enter correct data,,true,true,NON_UNIFIED,,
,proposer_pan,PAN,text,,individual_details,Customer Details,Customer Details,7,,,regex,"[a-zA-Z]{5}[0-9]{4}[a-zA-Z]{1}",Please Enter Valid PAN,false,false,NON_UNIFIED,,
,company_details,Company Details,,,company_details,Customer Details,Company Details,1,,,,,false,true,NON_UNIFIED,,
,company_gstin,GSTIN,text,,company_details,Customer Details,Company Details,1,,,regex,"^([012][0-9]|[3][0-7])[A-Z]{5}[0-9]{4}[A-Z][0-9][0-9A-Z]{2}$",Please Enter Valid GSTIN,true,true,NON_UNIFIED,,
,company_name,Company Name,text,,company_details,Customer Details,Company Details,2,,,regex,"^.+",Company name is not in proper format,true,true,NON_UNIFIED,,
,customer_address,Current Address,,,customer_address,Customer Details,Current Address,3,,,Please enter correct data,,false,true,NON_UNIFIED,,
,address,Address,address,,customer_address,Customer Details,Current Address,1,,,"{""fields"":[""address_line_1"",""address_line_2"",""pincode"",""city"",""state""]}",Number of charecters should be less than 100,true,true,NON_UNIFIED,,
,is_address_same,Is the Address Same as Current Address,dropdown,"Yes, No",customer_address,Customer Details,Current Address,6,No,,render_sub_questions,,true,true,NON_UNIFIED,,
,registration_address_section,Registration Address,address,,registration_address_section,Customer Details,Registration Address,4,,,"{""fields"":[""reg_address_line_1"",""reg_address_line_2"",""reg_zipcode"",""city"",""state""]}",Number of charecters should be less than 100,true,true,NON_UNIFIED,,
,registration_address,Address,address,,registration_address_section,Customer Details,Registration Address,1,,,"{""fields"":[""address_line_1"",""address_line_2"",""pincode"",""city"",""state""]}",Number of charecters should be less than 100,true,true,NON_UNIFIED,,
,previous_policy_details,Previous Policy Details,,,previous_policy_details,Vehicle Details,Previous Policy Details,2,,,Please enter correct data,,false,true,NON_UNIFIED,,
,previous_policy_carrier_code,Previous Third Party Insurance Company,text,,previous_policy_details,Vehicle Details,Previous Policy Details,1,,,Please enter correct data,,true,false,NON_UNIFIED,,
,previous_policy_type,Previous Policy Type,dropdown,"comprehensive, od_only, third_party",previous_policy_details,Vehicle Details,Previous Policy Details,2,,,Please enter correct data,,true,true,NON_UNIFIED,,
,previous_policy_number,Previous Policy Number,text,,previous_policy_details,Vehicle Details,Previous Policy Details,3,,,Please enter correct data,,true,true,NON_UNIFIED,,
,previous_tp_policy_number,Previous Third Party Policy Number,text,,previous_policy_details,Vehicle Details,Previous Policy Details,2,,,Please enter correct data,,true,true,NON_UNIFIED,,
,previous_tp_policy_carrier_code,Previous Third Party Insurance Company,text,,previous_policy_details,Vehicle Details,Previous Policy Details,3,,,Please enter correct data,,true,false,NON_UNIFIED,,
,previous_tp_policy_expiry_date,Previous Third Party Expiry date,date,,previous_policy_details,Vehicle Details,Previous Policy Details,4,,,Please enter correct data,,true,false,NON_UNIFIED,,
,previous_tp_policy_start_date,Previous TP Start Date,date,,previous_policy_details,Vehicle Details,Previous Policy Details,5,,,,,true,true,NON_UNIFIED,,
,previous_policy_expiry_date,Previous Policy Expiry Date,date,,previous_policy_details,Vehicle Details,Previous Policy Details,1,,,Please enter correct data,,true,false,NON_UNIFIED,,
,additional_info,Additional Information,,,additional_info,Customer Details,Additional Information,5,,,,,false,true,NON_UNIFIED,,
,NO_PA_Cover,If not opted for Personal Accident Cover Please choose a reason,dropdown,"No Valid Drivers license, Having a PA cover",additional_info,Customer Details,Additional Information,1,,,Please enter correct data,,true,true,NON_UNIFIED,,